State,Capital,Latitude,Longitude,ManMadeLandmarks,NaturalLandmarks,Nickname,MajorTrade,CulturalAspects,InterestingFact,Clue (from Blooket)
Andhra Pradesh,Amaravati,16.51,80.52,"Tirupati (Venkateswara Temple), new capital Amaravati","Eastern Ghats, Krishna & Godavari rivers, Araku Valley, Bay of Bengal coast",Rice Bowl of India,"Rice, agriculture, IT, seaports","Kuchipudi dance, Telugu cinema",Tirupati is one of the most-visited temples on Earth,"The hilltop shrine of Tirupati, one of the most visited temples on Earth, draws millions of pilgrims to which southern state, also known as the 'Rice Bowl of India' with its new capital at Amaravati?"
Arunachal Pradesh,Itanagar,27.1,93.62,Tawang Monastery (largest in India),"Eastern Himalayas, Sela Pass, dense forests",Land of the Dawn-Lit Mountains,"Forestry, hydropower, agriculture","Many tribal cultures, Tibetan Buddhism",The first part of India to see the sunrise each day,"The grand Tawang Monastery, the largest in India, sits high in which state, also known as the 'Land of the Dawn-Lit Mountains' and the first part of India to see the sunrise?"
Assam,Dispur (Guwahati),26.14,91.79,Kamakhya Temple,"Brahmaputra River, Kaziranga grasslands",Land of Red River and Blue Hills,"Tea, oil, silk","Bihu festival, Assam silk",The world's largest tea-growing region; home of the one-horned rhino,"The rare one-horned rhinos of Kaziranga graze beside the wide Brahmaputra River in which state, also famous as the heart of India's tea gardens?"
Bihar,Patna,25.61,85.14,"Mahabodhi Temple (Bodh Gaya), ruins of Nalanda University",Ganges River plains,Land of Buddha,Agriculture,Birthplace of Buddhism and Jainism,The Buddha reached enlightenment at Bodh Gaya; Nalanda was an ancient university,"The Buddha gained enlightenment under a tree at Bodh Gaya, where the ancient Nalanda University also once stood, in which state, also known as the 'Land of Buddha'?"
Chhattisgarh,Raipur,21.25,81.63,Ancient temples of Sirpur,"Chitrakote Falls, dense forests",Rice Bowl of India / Herbal State,"Steel, coal, rice",Tribal art and dance,Chitrakote Falls is called the 'Niagara of India',"The horseshoe-shaped Chitrakote Falls, called the 'Niagara of India,' thunders through the forests of which state, also known as a 'Rice Bowl of India'?"
Goa,Panaji,15.49,73.83,"Basilica of Bom Jesus, Old Goa churches","Arabian Sea beaches, Dudhsagar Falls",Pearl of the Orient,"Tourism, mining, fishing","Portuguese heritage, Goa Carnival",The smallest Indian state; a former Portuguese colony,"The Basilica of Bom Jesus and old Portuguese churches stand near the sunny beaches of which smallest Indian state, also known as the 'Pearl of the Orient'?"
Gujarat,Gandhinagar,23.22,72.65,"Statue of Unity (tallest statue in the world), Sabarmati Ashram","Rann of Kutch salt desert, Gir Forest (Asiatic lions)",Jewel of Western India,"Textiles, diamonds, petrochemicals","Garba dance, Navratri",Birthplace of Mahatma Gandhi; Gir is the last home of Asiatic lions,"The Statue of Unity, the tallest statue in the world, rises in which state, also famous as the birthplace of Mahatma Gandhi and the last home of Asiatic lions in Gir?"
Haryana,Chandigarh,30.7,76.85,Kurukshetra (Mahabharata battlefield),"Yamuna River, flat plains",Breadbasket of India,"Wheat, dairy, automobiles","Mahabharata heritage, folk dance",A leading wheat and milk producer; site of the Mahabharata war,"The great Mahabharata war was said to be fought on the field of Kurukshetra in which state, also known as a 'breadbasket' famous for its wheat and milk?"
Himachal Pradesh,Shimla,31.1,77.17,"Shimla hill station, Kalka–Shimla toy train","Himalayas, Spiti Valley, apple orchards",Dev Bhoomi (Land of the Gods),"Apples, hydropower, tourism","Hill temples, mountain festivals",Famous for apples and the UNESCO toy train to Shimla,"A famous toy train climbs to the colonial hill station of Shimla in which mountain state, also known as 'Dev Bhoomi,' the Land of the Gods, famous for its apples?"
Jharkhand,Ranchi,23.34,85.31,"Jagannath Temple, Ranchi","Chota Nagpur plateau, Hundru Falls, forests",Land of Forests,"Coal, iron ore, minerals","Tribal heritage, Chhau dance","India's mineral heartland, rich in coal and iron","Rich coal and iron mines power which heavily forested state, also known as the 'Land of Forests,' with its capital at Ranchi?"
