Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"A land of geysers, volcanoes, and glaciers, with the northernmost capital Reykjavik, is which island country?",Ireland,Czech Republic,Iceland,Switzerland,20,3
2,The walled old town of Dubrovnik and the blue Plitvice Lakes line the Adriatic coast of which country?,Slovenia,Croatia,Estonia,Kosovo,20,2
3,Belgrade Fortress overlooks the meeting of the Danube and Sava rivers in the capital of which Balkan country?,Serbia,Netherlands,Malta,Italy,20,1
4,"Bratislava, the only capital bordering two other countries, sits on the Danube in which country?",Slovenia,Bosnia & Herzegovina,Montenegro,Slovakia,20,4
5,Lake Bled with its tiny island church and the Julian Alps belong to which country whose capital is Ljubljana?,Slovakia,Hungary,Andorra,Slovenia,20,4
6,Brave divers leap from the Stari Most old bridge in Mostar in which country with a two-part name?,Ireland,Vatican City,Serbia,Bosnia & Herzegovina,20,4
7,"Known as the 'Land of the Eagles,' with capital Tirana on the Adriatic, is which country?",Netherlands,Romania,Albania,Switzerland,20,3
8,"Ancient Lake Ohrid, one of the oldest lakes on Earth, lies in which country whose capital is Skopje?",North Macedonia,Poland,Sweden,Bosnia & Herzegovina,20,1
9,The dramatic Bay of Kotor belongs to which Adriatic country whose name means 'Black Mountain'?,Kosovo,Latvia,Ukraine,Montenegro,20,4
10,"One of the world's newest countries, declared in 2008 with capital Pristina, is which Balkan nation?",Monaco,Kosovo,Poland,Ireland,20,2
11,"Gediminas' Tower watches over Vilnius, the capital of which Baltic country?",Kosovo,Lithuania,North Macedonia,Bosnia & Herzegovina,20,2
12,"Famous for elegant Art Nouveau buildings, Riga on the Daugava River is the capital of which Baltic country?",Portugal,Latvia,Moldova,Albania,20,2
13,"A beautifully preserved medieval old town fills Tallinn, the capital of which Baltic country?",Estonia,France,Romania,Luxembourg,20,1
14,"A landlocked country of huge ancient forests, with capital Minsk, is which nation?",Belarus,Germany,Ireland,Belgium,20,1
15,"One of Europe's least-visited countries, on the Dniester River between Romania and Ukraine, is which nation?",Andorra,Moldova,Croatia,Poland,20,2
16,"The old Bock Casemates fortifications guard which tiny but very wealthy country, a founder of the EU?",Italy,San Marino,Luxembourg,Albania,20,3
17,"The Monte Carlo Casino and a famous Grand Prix belong to which tiny country on the French Riviera, the world's second smallest?",Monaco,North Macedonia,Switzerland,Croatia,20,1
18,"A tiny Alpine country with no airport, ruled from Vaduz Castle and tucked between Switzerland and Austria, is which nation?",Iceland,Liechtenstein,Portugal,Monaco,20,2
19,"Three towers crown Mount Titano in which country, one of the world's oldest republics, surrounded by Italy?",Netherlands,Russia,San Marino,Czech Republic,20,3
20,"Tucked in the Pyrenees between France and Spain, with capital Andorra la Vella, is which small country?",Andorra,Bosnia & Herzegovina,Monaco,Ireland,20,1
21,"An island country south of Italy, home to St. John's Co-Cathedral in Valletta, is which nation?",Ireland,Albania,Malta,Italy,20,3
22,"An eastern Mediterranean island with the Troodos Mountains, whose capital Nicosia is split in two, is which country?",Cyprus,Russia,Lithuania,Norway,20,1
23,"The vast Sundarbans mangrove forest, home to Bengal tigers, lies in which country whose capital is Dhaka?",Bangladesh,Iraq,Lebanon,Philippines,20,1
24,"A landlocked country crossed by the high Hindu Kush mountains, with capital Kabul, is which nation?",Afghanistan,Japan,Bahrain,North Korea,20,1
25,"The ancient land between the Tigris and Euphrates rivers, with capital Baghdad, is which country?",Yemen,Iraq,Vietnam,Myanmar,20,2
26,"Damascus, one of the oldest continuously lived-in cities, is the capital of which country?",Timor-Leste,China,Syria,Saudi Arabia,20,3
27,"Famous for its ancient cedar trees and the ruins of Baalbek, which country has Beirut as its capital?",Brunei,Philippines,Sri Lanka,Lebanon,20,4
28,"Thousands of ancient temples dot the plains of Bagan in which country, once called Burma, on the Irrawaddy River?",Georgia,Vietnam,North Korea,Myanmar,20,4
29,"The Petronas Twin Towers rise in Kuala Lumpur, the capital of which Southeast Asian country?",Nepal,United Arab Emirates,Lebanon,Malaysia,20,4
30,"A country of more than 7,000 islands, with the Mayon Volcano and capital Manila, is which nation?",Laos,Saudi Arabia,Uzbekistan,Philippines,20,4
31,"A landlocked country on the Mekong River, home to the golden Pha That Luang and capital Vientiane, is which nation?",Kuwait,Laos,Uzbekistan,Japan,20,2
32,"The Gobi Desert and the world's coldest capital, Ulaanbaatar, belong to which country?",Brunei,Uzbekistan,Oman,Mongolia,20,4
33,"The world's largest landlocked country, with vast steppes and capital Astana, is which nation?",Azerbaijan,Laos,Kazakhstan,Armenia,20,3
34,"Samarkand, a famous stop on the ancient Silk Road, lies in which country whose capital is Tashkent?",Maldives,North Korea,Uzbekistan,Malaysia,20,3
35,"One of the world's most closed-off countries, with capital Pyongyang, is which nation?",Indonesia,India,North Korea,Thailand,20,3
36,"Host of the 2022 FIFA World Cup, with the Museum of Islamic Art in Doha, is which Persian Gulf country?",Japan,Saudi Arabia,Qatar,United Arab Emirates,20,3
37,"The Kuwait Towers rise over the capital of which small, oil-rich Persian Gulf country?",Uzbekistan,Kuwait,Philippines,Jordan,20,2
38,"Famous for frankincense, with the Sultan Qaboos Grand Mosque in Muscat, is which country on the Arabian Sea?",Kuwait,Syria,Oman,Philippines,20,3
