Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"The Saturn V rockets that carried astronauts to the Moon were designed in the city of Huntsville, which lies in which state, also remembered as the place where Rosa Parks sparked the Montgomery bus boycott?",Michigan,Hawaii,Nebraska,Alabama,20,4
2,"Sled-dog teams race the long Iditarod trail beneath Denali, the tallest peak in North America, in which giant state, also known as the 'Last Frontier' whose capital Juneau has no roads in or out?",California,Rhode Island,Alaska,Missouri,20,3
3,"The giant saguaro cacti of the Sonoran Desert, where the Navajo and Hopi have long lived, grow in which state, also famous for the mile-deep Grand Canyon carved by the Colorado River?",Nevada,Colorado,Arizona,New Hampshire,20,3
4,"Visitors dig for and keep real gems at the Crater of Diamonds, the only public diamond mine in the country, in which 'Natural State', also known as the place where Sam Walton opened the first Walmart?",Florida,Arkansas,Pennsylvania,California,20,2
5,"The scorching, below-sea-level depths of Death Valley sit in which state, also known as the 'Golden State' of the 1849 Gold Rush, the Golden Gate Bridge, and Hollywood?",Pennsylvania,Rhode Island,Nebraska,California,20,4
6,"The ancient stone cliff dwellings of Mesa Verde cling to the Rocky Mountains in which state, also known for its 'Mile High City' capital of Denver, exactly one mile above sea level?",Oregon,Georgia,Colorado,Maryland,20,3
7,"The world's first nuclear-powered submarine was launched in which small New England state, also known as the insurance capital, home to the centuries-old Yale University?",Oregon,Massachusetts,Connecticut,Pennsylvania,20,3
8,"More than a million businesses choose to legally register in which tiny state, also proudly known as the 'First State' for being first to ratify the U.S. Constitution?",Missouri,Oregon,Connecticut,Delaware,20,4
9,"Rockets blast off from the Kennedy Space Center in which state, also known as the 'Sunshine State' of Walt Disney World and the alligator-filled Everglades?",Florida,Iowa,South Dakota,North Carolina,20,1
10,"The soft drink Coca-Cola was invented in the city of Atlanta in which state, also known as the 'Peach State' and the birthplace of Dr. Martin Luther King Jr.?",Rhode Island,Missouri,Georgia,New Mexico,20,3
