Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"Whitewashed houses and blue-domed churches perch above a flooded volcanic caldera in which Greek island town, also famous for its clifftop sunsets at Oia?",Florence,Galway,Granada,Santorini,20,4
2,"Rows of old hilltop windmills overlook the Aegean Sea in which Greek island town, also famous as a whitewashed party destination?",Bath,Interlaken,Mykonos,Cologne,20,3
3,"The ruined Temple of Apollo clings to the slopes of Mount Parnassus in which ancient Greek town, once believed to be the very center of the world?",Delphi,Santorini,Liverpool,Seville,20,1
4,"The red-tiled dome of the Duomo and the Uffizi gallery rise beside the Arno River in which Italian city, also known as the birthplace of the Renaissance?",Naples,Florence,Santorini,Delphi,20,2
5,"Steaming Mount Vesuvius looms over the bay beside which southern Italian city, also famous as the birthplace of pizza?",Bruges,Naples,Interlaken,Bergen,20,2
6,"A grand Roman arena and a balcony said to be Juliet's draw visitors to which Italian city, also known as the setting of Romeo and Juliet?",Nice,Verona,Mykonos,Rotterdam,20,2
7,"Pastel houses tumble down steep seaside cliffs in which Italian village, also famous as a jewel of the Amalfi Coast?",Positano,Český Krumlov,Bergen,Nice,20,1
8,"The seaside Promenade des Anglais curves along the Mediterranean in which French city, also known as the glamorous heart of the French Riviera?",Kraków,Nice,Dubrovnik,Granada,20,2
9,"Set where the Rhône and Saône rivers meet, which French city is also famous as the country's food capital?",Lyon,Lucerne,Verona,Split,20,1
10,"The Alcázar palace and the Giralda tower rise above the Guadalquivir River in which Spanish city, also known as the home of flamenco?",Bruges,Verona,Seville,Dubrovnik,20,3
11,"The Moorish palace of the Alhambra overlooks the Sierra Nevada in which Spanish city, also known as the last Moorish stronghold in Spain?",Dubrovnik,Interlaken,Positano,Granada,20,4
12,"The futuristic City of Arts and Sciences gleams in which Mediterranean Spanish city, also famous as the birthplace of paella?",Valencia,Bath,Kraków,Mykonos,20,1
13,"The double-decker Dom Luís I iron bridge spans the Douro River in which Portuguese city, also famous for giving its name to port wine?",Porto,Florence,Kraków,Granada,20,1
14,"A Gothic cathedral that took more than 600 years to finish towers over the Rhine in which German city, also famous for its lively Carnival?",Liverpool,Cologne,Salzburg,Galway,20,2
15,"The steaming Roman Baths still fill with natural spring water in which honey-colored English city, whose very name comes from those baths?",Rotterdam,Florence,Český Krumlov,Bath,20,4
16,"The Cavern Club on the River Mersey launched a legendary band in which English city, also known as the birthplace of the Beatles?",Salzburg,Liverpool,Granada,Nice,20,2
17,"A wooden covered bridge, one of Europe's oldest, crosses the water beside Mount Pilatus in which Swiss city on its own lake?",Verona,Porto,Bath,Lucerne,20,4
18,"Wedged between two alpine lakes beneath the Jungfrau peak sits which Swiss town, also known as a gateway for adventure sports?",Verona,Interlaken,Santorini,Porto,20,2
19,"A hilltop fortress overlooks the birthplace of Mozart in which Austrian city, also famous as the setting of 'The Sound of Music'?",Bergen,Nice,Rotterdam,Salzburg,20,4
20,"Wawel Castle stands above the Vistula River in which city, also known as Poland's former royal capital?",Valencia,Delphi,Bergen,Kraków,20,4
21,"A fairytale castle loops around a bend of the Vltava River in which tiny Czech town, also famous as a perfectly preserved medieval gem?",Delphi,Český Krumlov,Positano,Mykonos,20,2
22,"Medieval canals wind past a tall belfry in which Belgian city, also nicknamed the 'Venice of the North'?",Seville,Bath,Bruges,Galway,20,3
23,"Massive stone walls ring an old town above the Adriatic Sea in which Croatian city, also nicknamed the 'Pearl of the Adriatic'?",Český Krumlov,Dubrovnik,Lucerne,Interlaken,20,2
24,An entire old town grew up inside a Roman emperor's palace in which sunny Croatian city on the Adriatic coast?,Florence,Cologne,Split,Lyon,20,3
25,"Colorful wooden wharf houses called Bryggen line the harbor of which Norwegian city, also known as the gateway to the fjords?",Granada,Galway,Bergen,Bruges,20,3
26,Traditional Irish music spills from the Latin Quarter near the Cliffs of Moher in which lively city on Ireland's wild Atlantic coast?,Galway,Český Krumlov,Dubrovnik,Delphi,20,1
27,"Bold modern Cube Houses and Europe's busiest seaport define which Dutch city, rebuilt with daring architecture after World War II?",Seville,Bergen,Cologne,Rotterdam,20,4
28,"Hot-air balloons drift at sunrise over 'fairy chimney' rock towers in which region of Turkey, also famous for homes and churches carved into the rock?",Cappadocia,Pamukkale,Udaipur,Pokhara,20,1
29,"Bright white terraces of mineral pools cascade down a hillside in which Turkish spot, whose name means 'cotton castle'?",Jaisalmer,Bagan,Hiroshima,Pamukkale,20,4
30,"The grand facade of the Library of Celsus still stands among the ruins of which ancient Turkish city, one of the best-preserved on Earth?",Ephesus,Hiroshima,Wadi Rum,Bali,20,1
31,"The honeycomb Hawa Mahal and the hilltop Amber Fort rise in which Indian city, also nicknamed the 'Pink City'?",Chengdu,Cappadocia,Chiang Mai,Jaipur,20,4
32,"Pilgrims bathe at riverside stone steps along the Ganges in which Indian city, one of the oldest living cities and holiest to Hindus?",El Nido,Osaka,Bagan,Varanasi,20,4
33,"A white marble palace seems to float on Lake Pichola in which Indian city, also known as the 'City of Lakes'?",Udaipur,Samarkand,Phuket,Ephesus,20,1
34,"A golden sandstone fort full of homes rises straight from the Thar Desert in which Indian city, also called the 'Golden City'?",Jaisalmer,Busan,Sigiriya,Bali,20,1
35,"A grand moated castle towers over which Japanese city, also famous as the country's street-food capital?",Hiroshima,Ephesus,Nara,Osaka,20,4
36,"The skeletal Atomic Bomb Dome is preserved as a peace memorial in which Japanese city, rebuilt after the 1945 atomic bombing?",Hiroshima,George Town,Cappadocia,Bagan,20,1
37,"A giant bronze Buddha sits in a vast wooden hall in which Japanese city, also famous for the tame deer that roam its park?",Nara,Bagan,Yangshuo,Chengdu,20,1
38,"Jagged karst peaks rise along the Li River around which Chinese town, whose dreamy scenery appears on China's money?",Chengdu,Hiroshima,Yangshuo,Udaipur,20,3
39,"A famous breeding base for giant pandas sits in which Chinese city in the Sichuan Basin, also known as the home of the panda?",Chengdu,Bagan,George Town,Bali,20,1
40,"A tram climbs to Victoria Peak for a view over a glittering harbor in which Chinese city, famous for one of the world's great skylines?",Ephesus,Hong Kong,Chiang Mai,Busan,20,2
41,"Mountain temples like Doi Suthep watch over which northern Thai city, also known as the heart of old Lanna culture?",Chengdu,Abu Dhabi,Chiang Mai,Jaipur,20,3
42,"A giant white Buddha overlooks Andaman Sea beaches on which Thai destination, also the country's largest island?",George Town,Tel Aviv,Hoi An,Phuket,20,4
43,"Thousands of glowing lanterns light an old town by the Thu Bon River in which Vietnamese city, also famous for its Japanese covered bridge?",Jaipur,El Nido,Hoi An,Osaka,20,3
44,"Sea temples and terraced rice paddies cover which Indonesian island, also lovingly called the 'Island of the Gods'?",Ephesus,Bali,Hiroshima,El Nido,20,2
45,"The vast white Sheikh Zayed Grand Mosque rises on the Persian Gulf in which city, the capital of the UAE — not Dubai?",Abu Dhabi,Ephesus,George Town,Sigiriya,20,1
46,Red sand and towering sandstone cliffs have stood in for the planet Mars in many films shot in which Jordanian desert valley?,Sigiriya,Chengdu,Wadi Rum,Bagan,20,3
