State,Capital,Latitude,Longitude,ManMadeLandmarks,NaturalLandmarks,Nickname,MajorTrade,CulturalAspects,InterestingFact,Clue (from Blooket)
Alabama,Montgomery,32.38,-86.3,"U.S. Space & Rocket Center (Huntsville), Civil Rights Memorial","Gulf Coast beaches, Cheaha Mountain, Mobile Bay",Yellowhammer State,"Aerospace/rockets, automobiles, cotton, steel","Civil Rights movement, Southern, gospel music",Rosa Parks' bus boycott began in Montgomery; rockets built in Huntsville,"The Saturn V rockets that carried astronauts to the Moon were designed in the city of Huntsville, which lies in which state, also remembered as the place where Rosa Parks sparked the Montgomery bus boycott?"
Alaska,Juneau,58.3,-134.42,Trans-Alaska Pipeline,"Denali (tallest U.S. peak), glaciers, Arctic tundra",The Last Frontier,"Oil, fishing, tourism","Native Alaskan cultures, Iditarod sled-dog race",Largest state; its capital can't be reached by road,"Sled-dog teams race the long Iditarod trail beneath Denali, the tallest peak in North America, in which giant state, also known as the 'Last Frontier' whose capital Juneau has no roads in or out?"
Arizona,Phoenix,33.45,-112.07,"Hoover Dam, relocated London Bridge (Lake Havasu)","Grand Canyon, Sonoran Desert, saguaro cactus",Grand Canyon State,"Copper mining, electronics, tourism","Navajo & Hopi heritage, Old West",Leads the U.S. in copper; the Grand Canyon is a New 7 Wonder of Nature,"The giant saguaro cacti of the Sonoran Desert, where the Navajo and Hopi have long lived, grow in which state, also famous for the mile-deep Grand Canyon carved by the Colorado River?"
Arkansas,Little Rock,34.74,-92.33,"Crater of Diamonds State Park, Clinton Library","Hot Springs, Ozark Mountains, Buffalo River",The Natural State,"Rice, poultry, retail (Walmart HQ)","Folk and bluegrass music, Ozark crafts",The only place in the U.S. where you can dig your own diamonds; Walmart was founded here,"Visitors dig for and keep real gems at the Crater of Diamonds, the only public diamond mine in the country, in which 'Natural State', also known as the place where Sam Walton opened the first Walmart?"
California,Sacramento,38.58,-121.49,"Golden Gate Bridge, Hollywood, Disneyland","Yosemite, Death Valley, redwoods, Sierra Nevada, Lake Tahoe",The Golden State,"Technology (Silicon Valley), film, agriculture, wine","Hollywood movies, surf culture, diverse","Most populous state; the 1849 Gold Rush; Death Valley is the lowest, hottest U.S. spot","The scorching, below-sea-level depths of Death Valley sit in which state, also known as the 'Golden State' of the 1849 Gold Rush, the Golden Gate Bridge, and Hollywood?"
Colorado,Denver,39.74,-104.99,"Mesa Verde cliff dwellings, U.S. Air Force Academy","Rocky Mountains, Pikes Peak, Garden of the Gods",The Centennial State,"Aerospace, skiing/tourism, technology","Skiing, 'Mile High City'",Denver sits exactly one mile above sea level,"The ancient stone cliff dwellings of Mesa Verde cling to the Rocky Mountains in which state, also known for its 'Mile High City' capital of Denver, exactly one mile above sea level?"
Connecticut,Hartford,41.76,-72.69,"Yale University, USS Nautilus (first nuclear sub), Mark Twain House","Long Island Sound, Connecticut River",The Constitution State,"Insurance, submarines, aerospace",Colonial New England heritage,Often called the 'Insurance Capital'; adopted an early written constitution,"The world's first nuclear-powered submarine was launched in which small New England state, also known as the insurance capital, home to the centuries-old Yale University?"
Delaware,Dover,39.16,-75.52,"Dover Air Force Base, Dover NASCAR Speedway","Atlantic beaches, Delaware Bay",The First State,"Chemicals (DuPont), banking, business incorporation",First State pride,First state to ratify the U.S. Constitution (1787); many companies incorporate here,"More than a million businesses choose to legally register in which tiny state, also proudly known as the 'First State' for being first to ratify the U.S. Constitution?"
Florida,Tallahassee,30.44,-84.28,"Walt Disney World, Kennedy Space Center","Everglades, beaches, the Florida Keys",The Sunshine State,"Tourism, citrus/oranges, aerospace","Latin & Cuban influence (Miami), theme parks",Rockets launch from the Kennedy Space Center; a leading orange grower,"Rockets blast off from the Kennedy Space Center in which state, also known as the 'Sunshine State' of Walt Disney World and the alligator-filled Everglades?"
Georgia,Atlanta,33.75,-84.39,"Coca-Cola HQ, CNN Center, MLK National Historic Site","Okefenokee Swamp, Stone Mountain, Appalachian foothills",The Peach State,"Peaches, peanuts, poultry, film, soft drinks","Civil Rights history, Southern hospitality",Birthplace of Dr. Martin Luther King Jr.; Coca-Cola was invented in Atlanta,"The soft drink Coca-Cola was invented in the city of Atlanta in which state, also known as the 'Peach State' and the birthplace of Dr. Martin Luther King Jr.?"
