Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"The River Thames winds past the Houses of Parliament and the Tower of London in which capital city, home to Big Ben and Buckingham Palace?",Rome,St. Petersburg,London,Berlin,20,3
2,"An extinct volcano known as Arthur's Seat overlooks which Scottish capital, famous for the castle on its crag?",Berlin,London,Rome,Edinburgh,20,4
3,"The glass pyramid of the Louvre, guarding the Mona Lisa, stands by the Seine in which capital crowned by the Eiffel Tower?",Rome,St. Petersburg,Paris,Berlin,20,3
4,The ancient port of Marseille and its Vieux-Port sit on the Mediterranean coast of which country famous for the Eiffel Tower?,Finland,San Marino,France,Switzerland,20,3
5,"Vatican City, the world's smallest country, lies entirely inside which capital built on seven hills and home to the Colosseum?",Rome,Berlin,London,Paris,20,1
6,"A lagoon city of canals called Venice, where people travel by boat, belongs to which boot-shaped country?",Iceland,Italy,Czech Republic,Liechtenstein,20,2
7,A famous bell tower that tilts because it was built on soft ground stands in which Tuscan city on the Arno River?,Pisa,St. Petersburg,Berlin,Madrid,20,1
8,The Brandenburg Gate and remains of a wall that once split the city are found in which German capital on the Spree River?,Edinburgh,Paris,St. Petersburg,Berlin,20,4
9,"The fairytale castle of Neuschwanstein and the Oktoberfest festival belong to which country, also home to the Brandenburg Gate?",San Marino,Germany,Sweden,Italy,20,2
10,The Prado Museum and the Royal Palace sit in which Spanish capital on the Manzanares River?,Berlin,Madrid,St. Petersburg,Rome,20,2
11,"Gaudí's still-unfinished Sagrada Família church rises in Barcelona, a Mediterranean city in which country?",Spain,Luxembourg,Germany,Bulgaria,20,1
12,"The Belém Tower guards the mouth of the Tagus River in Lisbon, the seafaring capital of which country?",Portugal,Liechtenstein,Lithuania,Denmark,20,1
13,"The Parthenon crowns the Acropolis in Athens, capital of which country and birthplace of the Olympic Games?",Belgium,Greece,Switzerland,Vatican City,20,2
14,"A city of canals and windmills that sits below sea level, Amsterdam is the capital of which country?",Denmark,Netherlands,Luxembourg,North Macedonia,20,2
15,"The onion domes of St. Basil's Cathedral and the Kremlin stand on Red Square in the capital of which country, the largest on Earth?",Kosovo,Belarus,Russia,Vatican City,20,3
16,"Built by Tsar Peter the Great on the Neva River, which Russian city holds the Hermitage and the Winter Palace?",St. Petersburg,Berlin,London,Madrid,20,1
17,"The Schönbrunn Palace and a love of classical music belong to Vienna, the capital of which country on the Danube?",Austria,Germany,Switzerland,Poland,20,1
18,The pyramid-shaped Matterhorn rises in the Alps of which country famous for chocolate and watches?,Switzerland,Cyprus,Hungary,Czech Republic,20,1
19,Trinity College and Dublin Castle sit on the River Liffey in the capital of which island country?,Slovakia,Moldova,Ireland,Montenegro,20,3
20,"The Atomium and the headquarters of the European Union are found in Brussels, the capital of which country?",Portugal,Poland,Bulgaria,Belgium,20,4
21,"Deep coastal fjords cut into which Scandinavian country, whose capital Oslo holds a Viking Ship Museum?",Sweden,Norway,Denmark,Vatican City,20,2
22,"Spread across 14 islands in the Baltic Sea, Stockholm is the capital of which country?",Luxembourg,Sweden,Netherlands,Slovakia,20,2
