State,Capital,Natural Landmarks,Man-Made Landmarks,Nickname,Major Trade / Industry,Cultural Aspects,Interesting Facts
Alabama,Montgomery,"Gulf Coast beaches, Cheaha Mountain, Mobile Bay","U.S. Space & Rocket Center (Huntsville), Civil Rights Memorial",Yellowhammer State,"Aerospace/rockets, automobiles, cotton, steel","Civil Rights movement, Southern, gospel music",Rosa Parks' bus boycott began in Montgomery; rockets built in Huntsville
Alaska,Juneau,"Denali (tallest U.S. peak), glaciers, Arctic tundra",Trans-Alaska Pipeline,The Last Frontier,"Oil, fishing, tourism","Native Alaskan cultures, Iditarod sled-dog race",Largest state; its capital can't be reached by road
Arizona,Phoenix,"Grand Canyon, Sonoran Desert, saguaro cactus","Hoover Dam, relocated London Bridge (Lake Havasu)",Grand Canyon State,"Copper mining, electronics, tourism","Navajo & Hopi heritage, Old West",Leads the U.S. in copper; the Grand Canyon is a New 7 Wonder of Nature
Arkansas,Little Rock,"Hot Springs, Ozark Mountains, Buffalo River","Crater of Diamonds State Park, Clinton Library",The Natural State,"Rice, poultry, retail (Walmart HQ)","Folk and bluegrass music, Ozark crafts",The only place in the U.S. where you can dig your own diamonds; Walmart was founded here
California,Sacramento,"Yosemite, Death Valley, redwoods, Sierra Nevada, Lake Tahoe","Golden Gate Bridge, Hollywood, Disneyland",The Golden State,"Technology (Silicon Valley), film, agriculture, wine","Hollywood movies, surf culture, diverse","Most populous state; the 1849 Gold Rush; Death Valley is the lowest, hottest U.S. spot"
Colorado,Denver,"Rocky Mountains, Pikes Peak, Garden of the Gods","Mesa Verde cliff dwellings, U.S. Air Force Academy",The Centennial State,"Aerospace, skiing/tourism, technology","Skiing, 'Mile High City'",Denver sits exactly one mile above sea level
Connecticut,Hartford,"Long Island Sound, Connecticut River","Yale University, USS Nautilus (first nuclear sub), Mark Twain House",The Constitution State,"Insurance, submarines, aerospace",Colonial New England heritage,Often called the 'Insurance Capital'; adopted an early written constitution
Delaware,Dover,"Atlantic beaches, Delaware Bay","Dover Air Force Base, Dover NASCAR Speedway",The First State,"Chemicals (DuPont), banking, business incorporation",First State pride,First state to ratify the U.S. Constitution (1787); many companies incorporate here
Florida,Tallahassee,"Everglades, beaches, the Florida Keys","Walt Disney World, Kennedy Space Center",The Sunshine State,"Tourism, citrus/oranges, aerospace","Latin & Cuban influence (Miami), theme parks",Rockets launch from the Kennedy Space Center; a leading orange grower
Georgia,Atlanta,"Okefenokee Swamp, Stone Mountain, Appalachian foothills","Coca-Cola HQ, CNN Center, MLK National Historic Site",The Peach State,"Peaches, peanuts, poultry, film, soft drinks","Civil Rights history, Southern hospitality",Birthplace of Dr. Martin Luther King Jr.; Coca-Cola was invented in Atlanta
