State,Capital,Natural Landmarks,Man-Made Landmarks,Nickname,Major Trade / Industry,Cultural Aspects,Interesting Facts
Andhra Pradesh,Amaravati,"Eastern Ghats, Krishna & Godavari rivers, Araku Valley, Bay of Bengal coast","Tirupati (Venkateswara Temple), new capital Amaravati",Rice Bowl of India,"Rice, agriculture, IT, seaports","Kuchipudi dance, Telugu cinema",Tirupati is one of the most-visited temples on Earth
Arunachal Pradesh,Itanagar,"Eastern Himalayas, Sela Pass, dense forests",Tawang Monastery (largest in India),Land of the Dawn-Lit Mountains,"Forestry, hydropower, agriculture","Many tribal cultures, Tibetan Buddhism",The first part of India to see the sunrise each day
Assam,Dispur (Guwahati),"Brahmaputra River, Kaziranga grasslands",Kamakhya Temple,Land of Red River and Blue Hills,"Tea, oil, silk","Bihu festival, Assam silk",The world's largest tea-growing region; home of the one-horned rhino
Bihar,Patna,Ganges River plains,"Mahabodhi Temple (Bodh Gaya), ruins of Nalanda University",Land of Buddha,Agriculture,Birthplace of Buddhism and Jainism,The Buddha reached enlightenment at Bodh Gaya; Nalanda was an ancient university
Chhattisgarh,Raipur,"Chitrakote Falls, dense forests",Ancient temples of Sirpur,Rice Bowl of India / Herbal State,"Steel, coal, rice",Tribal art and dance,Chitrakote Falls is called the 'Niagara of India'
Goa,Panaji,"Arabian Sea beaches, Dudhsagar Falls","Basilica of Bom Jesus, Old Goa churches",Pearl of the Orient,"Tourism, mining, fishing","Portuguese heritage, Goa Carnival",The smallest Indian state; a former Portuguese colony
Gujarat,Gandhinagar,"Rann of Kutch salt desert, Gir Forest (Asiatic lions)","Statue of Unity (tallest statue in the world), Sabarmati Ashram",Jewel of Western India,"Textiles, diamonds, petrochemicals","Garba dance, Navratri",Birthplace of Mahatma Gandhi; Gir is the last home of Asiatic lions
Haryana,Chandigarh,"Yamuna River, flat plains",Kurukshetra (Mahabharata battlefield),Breadbasket of India,"Wheat, dairy, automobiles","Mahabharata heritage, folk dance",A leading wheat and milk producer; site of the Mahabharata war
Himachal Pradesh,Shimla,"Himalayas, Spiti Valley, apple orchards","Shimla hill station, Kalka–Shimla toy train",Dev Bhoomi (Land of the Gods),"Apples, hydropower, tourism","Hill temples, mountain festivals",Famous for apples and the UNESCO toy train to Shimla
Jharkhand,Ranchi,"Chota Nagpur plateau, Hundru Falls, forests","Jagannath Temple, Ranchi",Land of Forests,"Coal, iron ore, minerals","Tribal heritage, Chhau dance","India's mineral heartland, rich in coal and iron"
Karnataka,Bengaluru,"Western Ghats, Jog Falls, Coorg hills","Mysore Palace, ruins of Hampi",Silicon Valley of India,"IT, sandalwood, coffee, aerospace","Carnatic music, Mysore Dasara",Bengaluru is India's technology capital; Hampi is a UNESCO site
Kerala,Thiruvananthapuram,"Backwaters, Western Ghats, Munnar tea hills, beaches",Padmanabhaswamy Temple,God's Own Country,"Spices, rubber, tourism, coir","Kathakali dance, Onam festival, houseboats",Has the highest literacy in India; famous backwaters and spices
Madhya Pradesh,Bhopal,"Kanha & Bandhavgarh tiger reserves, Narmada River","Khajuraho temples, Sanchi Stupa",Tiger State / Heart of India,"Soybeans, wheat, minerals","Tribal art, temple architecture",Has more tigers than any state; lies at the geographic heart of India
Maharashtra,Mumbai,"Western Ghats, Konkan coast","Gateway of India, Ajanta & Ellora caves",Gateway of India,"Finance, Bollywood films, autos, IT","Bollywood, Ganesh Chaturthi",Mumbai is India's financial capital and the home of Bollywood
Manipur,Imphal,"Loktak Lake (floating islands), green hills",Kangla Fort,Jewel of India,"Handloom, agriculture","Manipuri dance, origin of polo",Loktak Lake has floating islands of plants; polo was born here
Meghalaya,Shillong,"Cherrapunji & Mawsynram (wettest places), living root bridges",Bioengineered living root bridges,Abode of Clouds,"Coal, limestone, tourism",Khasi matrilineal society,Among the wettest places on Earth; nicknamed the 'Scotland of the East'
Mizoram,Aizawl,"Blue hills, bamboo forests","Solomon's Temple, Aizawl",Songbird of India,"Bamboo, agriculture",Cheraw bamboo dance,Built on high ridge-tops; one of India's most literate states
Nagaland,Kohima,"Forested hills, Dzukou Valley",Kohima War Cemetery,Land of Festivals,"Agriculture, handicrafts","Hornbill Festival, many tribes",Hosts the colorful Hornbill Festival; site of the WWII Battle of Kohima
Odisha,Bhubaneswar,"Chilika Lake (largest brackish lagoon), Bay of Bengal coast","Konark Sun Temple, Jagannath Temple (Puri)",Land of Temples,"Minerals, steel","Odissi dance, Rath Yatra",The Konark Sun Temple is shaped like a giant chariot
Punjab,Chandigarh,"Fertile Indo-Gangetic plains, five rivers","Golden Temple (Amritsar), Wagah border",Granary of India / Land of Five Rivers,"Wheat, rice, dairy","Bhangra dance, Sikhism, Baisakhi",Home of the Golden Temple; the breadbasket of India
Rajasthan,Jaipur,"Thar Desert, Aravalli Range, Sambhar Salt Lake","Hawa Mahal, Amber Fort, City Palaces",Land of Kings,"Tourism, marble, gems, textiles","Forts, camels, folk music",The largest Indian state; Jaipur is the 'Pink City'
Sikkim,Gangtok,"Kangchenjunga (3rd-highest peak), Himalayas",Rumtek Monastery,The Organic State,"Cardamom, tourism, hydropower",Buddhist monasteries,India's first fully organic state; home to Kangchenjunga
Tamil Nadu,Chennai,"Western & Eastern Ghats, Nilgiri Hills, Marina Beach","Meenakshi Temple (Madurai), Brihadeeswarar Temple",Land of Temples / Detroit of India,"Automobiles, textiles, IT","Bharatanatyam dance, Tamil cinema, Pongal",Marina Beach is one of the world's longest; Chennai is the 'Detroit of India'
Telangana,Hyderabad,"Deccan Plateau, Godavari & Krishna rivers","Charminar, Golconda Fort",India's Youngest State,"IT, pharmaceuticals, pearls","Hyderabadi biryani, Bonalu festival",Formed in 2014; famous for the Charminar and Golconda Fort
Tripura,Agartala,"Forested hills, lakes","Ujjayanta Palace, Neermahal water palace",Land of Fourteen Gods,"Bamboo, rubber, tea",Tribal and Bengali culture,Neermahal is a palace built in the middle of a lake
Uttar Pradesh,Lucknow,Ganges & Yamuna river plains,"Taj Mahal (Agra), Varanasi ghats",Land of the Taj,"Sugarcane, agriculture, leather","Hindu pilgrimage, Awadhi cuisine",Home of the Taj Mahal and holy Varanasi; the most populous state
Uttarakhand,Dehradun,"Himalayas, Nanda Devi, Valley of Flowers, Gangotri glacier",Haridwar & Rishikesh temple towns,Dev Bhoomi (Land of the Gods),"Tourism, hydropower","Hindu pilgrimage, yoga",The sacred Ganges begins here; Rishikesh is the 'yoga capital'
West Bengal,Kolkata,"Sundarbans mangroves, Ganges delta, Darjeeling hills","Victoria Memorial, Howrah Bridge",Cultural Capital of India,"Jute, Darjeeling tea, fish","Durga Puja, Tagore's literature, sweets","Sundarbans tigers, Darjeeling tea, and Kolkata's rich culture"
