Continent,Country,City,Latitude,Longitude,ManMadeLandmarks,GeographicalLandmarks,InterestingFact,Clue (from Blooket)
Europe,Greece,Santorini,36.4,25.46,Blue-domed churches of Oia,"Volcanic caldera, Aegean Sea","Shaped by a giant volcanic eruption about 3,600 years ago","Whitewashed houses and blue-domed churches perch above a flooded volcanic caldera in which Greek island town, also famous for its clifftop sunsets at Oia?"
Europe,Greece,Mykonos,37.45,25.33,Iconic hilltop windmills,Aegean Sea beaches,Famous for whitewashed houses and bright blue shutters,"Rows of old hilltop windmills overlook the Aegean Sea in which Greek island town, also famous as a whitewashed party destination?"
Europe,Greece,Delphi,38.48,22.5,Ruins of the Temple of Apollo,Slopes of Mount Parnassus,Ancient Greeks believed it was the center of the world,"The ruined Temple of Apollo clings to the slopes of Mount Parnassus in which ancient Greek town, once believed to be the very center of the world?"
Europe,Italy,Florence,43.77,11.26,"Florence Cathedral (Duomo), Uffizi",Arno River,The birthplace of the Renaissance,"The red-tiled dome of the Duomo and the Uffizi gallery rise beside the Arno River in which Italian city, also known as the birthplace of the Renaissance?"
Europe,Italy,Naples,40.85,14.27,Royal Palace; ruins of Pompeii nearby,"Mount Vesuvius, Bay of Naples",The birthplace of pizza,"Steaming Mount Vesuvius looms over the bay beside which southern Italian city, also famous as the birthplace of pizza?"
Europe,Italy,Verona,45.44,10.99,"Roman Arena, Juliet's balcony",Adige River,The setting of Shakespeare's Romeo and Juliet,"A grand Roman arena and a balcony said to be Juliet's draw visitors to which Italian city, also known as the setting of Romeo and Juliet?"
Europe,Italy,Positano,40.63,14.48,Pastel cliffside houses,Amalfi Coast cliffs,Houses cling to steep cliffs above the sea,"Pastel houses tumble down steep seaside cliffs in which Italian village, also famous as a jewel of the Amalfi Coast?"
Europe,France,Nice,43.7,7.27,Promenade des Anglais,"French Riviera, Mediterranean Sea",The glamorous heart of the French Riviera,"The seaside Promenade des Anglais curves along the Mediterranean in which French city, also known as the glamorous heart of the French Riviera?"
Europe,France,Lyon,45.76,4.84,Old Town (Vieux Lyon),Rhône & Saône rivers,Considered France's food capital,"Set where the Rhône and Saône rivers meet, which French city is also famous as the country's food capital?"
Europe,Spain,Seville,37.39,-5.99,"Royal Alcázar, Giralda tower",Guadalquivir River,The home of flamenco dancing,"The Alcázar palace and the Giralda tower rise above the Guadalquivir River in which Spanish city, also known as the home of flamenco?"
Europe,Spain,Granada,37.18,-3.6,The Alhambra palace,Sierra Nevada mountains,The last Moorish stronghold in Spain,"The Moorish palace of the Alhambra overlooks the Sierra Nevada in which Spanish city, also known as the last Moorish stronghold in Spain?"
Europe,Spain,Valencia,39.47,-0.38,City of Arts and Sciences,Mediterranean coast,The birthplace of paella,"The futuristic City of Arts and Sciences gleams in which Mediterranean Spanish city, also famous as the birthplace of paella?"
Europe,Portugal,Porto,41.15,-8.61,Dom Luís I iron bridge,Douro River,Gives its name to port wine,"The double-decker Dom Luís I iron bridge spans the Douro River in which Portuguese city, also famous for giving its name to port wine?"
Europe,Germany,Cologne,50.94,6.96,Cologne Cathedral,Rhine River,Its cathedral took more than 600 years to finish,"A Gothic cathedral that took more than 600 years to finish towers over the Rhine in which German city, also famous for its lively Carnival?"
Europe,United Kingdom,Bath,51.38,-2.36,The Roman Baths,"Natural hot springs, River Avon",Built by the Romans around natural hot springs,"The steaming Roman Baths still fill with natural spring water in which honey-colored English city, whose very name comes from those baths?"
Europe,United Kingdom,Liverpool,53.41,-2.99,The Beatles' Cavern Club,River Mersey,The birthplace of the Beatles,"The Cavern Club on the River Mersey launched a legendary band in which English city, also known as the birthplace of the Beatles?"
Europe,Switzerland,Lucerne,47.05,8.31,Chapel Bridge (Kapellbrücke),"Lake Lucerne, Mount Pilatus",Its wooden bridge is among the oldest in Europe,"A wooden covered bridge, one of Europe's oldest, crosses the water beside Mount Pilatus in which Swiss city on its own lake?"
Europe,Switzerland,Interlaken,46.69,7.85,,"Between Lakes Thun and Brienz, Jungfrau",The adventure-sports gateway to the Alps,"Wedged between two alpine lakes beneath the Jungfrau peak sits which Swiss town, also known as a gateway for adventure sports?"
Europe,Austria,Salzburg,47.8,13.05,Hohensalzburg Fortress,"Eastern Alps, Salzach River",Birthplace of Mozart and setting of 'The Sound of Music',"A hilltop fortress overlooks the birthplace of Mozart in which Austrian city, also famous as the setting of 'The Sound of Music'?"
Europe,Poland,Kraków,50.06,19.94,Wawel Castle,Vistula River,Poland's former royal capital,"Wawel Castle stands above the Vistula River in which city, also known as Poland's former royal capital?"
Europe,Czechia,Český Krumlov,48.81,14.32,Český Krumlov Castle,Bend of the Vltava River,A perfectly preserved medieval town,"A fairytale castle loops around a bend of the Vltava River in which tiny Czech town, also famous as a perfectly preserved medieval gem?"
Europe,Belgium,Bruges,51.21,3.22,Belfry of Bruges,Medieval canals,Nicknamed the 'Venice of the North',"Medieval canals wind past a tall belfry in which Belgian city, also nicknamed the 'Venice of the North'?"
Europe,Croatia,Dubrovnik,42.64,18.11,Old town city walls,Adriatic Sea,Nicknamed the 'Pearl of the Adriatic',"Massive stone walls ring an old town above the Adriatic Sea in which Croatian city, also nicknamed the 'Pearl of the Adriatic'?"
Europe,Croatia,Split,43.51,16.44,Diocletian's Palace,Adriatic coast,Grew up inside a Roman emperor's palace,An entire old town grew up inside a Roman emperor's palace in which sunny Croatian city on the Adriatic coast?
Europe,Norway,Bergen,60.39,5.32,Bryggen wharf houses,Surrounded by fjords and seven mountains,The gateway to Norway's fjords,"Colorful wooden wharf houses called Bryggen line the harbor of which Norwegian city, also known as the gateway to the fjords?"
Europe,Ireland,Galway,53.27,-9.05,Latin Quarter streets,"Wild Atlantic coast, Cliffs of Moher nearby",A lively hub of traditional Irish music,Traditional Irish music spills from the Latin Quarter near the Cliffs of Moher in which lively city on Ireland's wild Atlantic coast?
Europe,Netherlands,Rotterdam,51.92,4.48,"Cube Houses, modern skyline",Nieuwe Maas river,Home to Europe's largest seaport,"Bold modern Cube Houses and Europe's busiest seaport define which Dutch city, rebuilt with daring architecture after World War II?"
Asia,Turkey,Cappadocia,38.65,34.83,"Cave churches, hot-air balloons",'Fairy chimney' rock formations,Famous for sunrise hot-air balloon rides,"Hot-air balloons drift at sunrise over 'fairy chimney' rock towers in which region of Turkey, also famous for homes and churches carved into the rock?"
