Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"The hilltop shrine of Tirupati, one of the most visited temples on Earth, draws millions of pilgrims to which southern state, also known as the 'Rice Bowl of India' with its new capital at Amaravati?",Odisha,Andhra Pradesh,Meghalaya,Uttar Pradesh,20,2
2,"The grand Tawang Monastery, the largest in India, sits high in which state, also known as the 'Land of the Dawn-Lit Mountains' and the first part of India to see the sunrise?",Gujarat,Arunachal Pradesh,Uttarakhand,Nagaland,20,2
3,"The rare one-horned rhinos of Kaziranga graze beside the wide Brahmaputra River in which state, also famous as the heart of India's tea gardens?",Karnataka,Meghalaya,Assam,Chhattisgarh,20,3
4,"The Buddha gained enlightenment under a tree at Bodh Gaya, where the ancient Nalanda University also once stood, in which state, also known as the 'Land of Buddha'?",Meghalaya,Bihar,Maharashtra,Rajasthan,20,2
5,"The horseshoe-shaped Chitrakote Falls, called the 'Niagara of India,' thunders through the forests of which state, also known as a 'Rice Bowl of India'?",West Bengal,Nagaland,Assam,Chhattisgarh,20,4
6,"The Basilica of Bom Jesus and old Portuguese churches stand near the sunny beaches of which smallest Indian state, also known as the 'Pearl of the Orient'?",Goa,Rajasthan,Himachal Pradesh,Andhra Pradesh,20,1
7,"The Statue of Unity, the tallest statue in the world, rises in which state, also famous as the birthplace of Mahatma Gandhi and the last home of Asiatic lions in Gir?",Gujarat,Haryana,West Bengal,Punjab,20,1
8,"The great Mahabharata war was said to be fought on the field of Kurukshetra in which state, also known as a 'breadbasket' famous for its wheat and milk?",Tamil Nadu,Andhra Pradesh,Mizoram,Haryana,20,4
9,"A famous toy train climbs to the colonial hill station of Shimla in which mountain state, also known as 'Dev Bhoomi,' the Land of the Gods, famous for its apples?",West Bengal,Manipur,Odisha,Himachal Pradesh,20,4
10,"Rich coal and iron mines power which heavily forested state, also known as the 'Land of Forests,' with its capital at Ranchi?",Kerala,Haryana,Jharkhand,Uttar Pradesh,20,3
11,"The boulder-strewn ruins of the ancient city of Hampi and the grand Mysore Palace lie in which state, also known as the 'Silicon Valley of India' for its tech hub Bengaluru?",Uttar Pradesh,Punjab,Karnataka,Bihar,20,3
12,"Houseboats glide through palm-fringed backwaters in which spice-growing southern state, also lovingly called 'God's Own Country'?",Maharashtra,Assam,Andhra Pradesh,Kerala,20,4
13,"The intricately carved temples of Khajuraho and the Buddhist Sanchi Stupa stand in which central state, also known as the 'Tiger State' at the very heart of India?",Mizoram,Madhya Pradesh,Arunachal Pradesh,Maharashtra,20,2
14,"The rock-cut Ajanta and Ellora caves were carved long ago in which state, also home to Mumbai, India's financial capital and the heart of Bollywood?",Gujarat,Maharashtra,Punjab,Sikkim,20,2
15,"Loktak Lake, dotted with floating islands of matted plants, shimmers in which northeastern state, also called the 'Jewel of India,' where the sport of polo was born?",Jharkhand,Karnataka,Manipur,Andhra Pradesh,20,3
16,"Bridges grown from living tree roots cross the streams of Cherrapunji in which state, also known as the 'Abode of Clouds,' one of the wettest places on Earth?",Telangana,Haryana,Bihar,Meghalaya,20,4
17,"Perched along high ridge-tops above terraced bamboo hills, which northeastern state is also known as the 'Songbird of India'?",Meghalaya,Mizoram,Goa,Uttarakhand,20,2
18,"The colorful Hornbill Festival lights up which northeastern state each December, also remembered for the fierce World War II Battle of Kohima?",Nagaland,Tripura,Uttar Pradesh,Chhattisgarh,20,1
19,"The chariot-shaped Konark Sun Temple and the Jagannath Temple at Puri stand in which coastal state, also known as the 'Land of Temples'?",Madhya Pradesh,Maharashtra,Odisha,Bihar,20,3
20,"The shimmering Golden Temple at Amritsar welcomes pilgrims of all faiths in which state, also known as the 'Land of Five Rivers' and the 'Granary of India'?",Uttarakhand,Odisha,Jharkhand,Punjab,20,4
21,"Camels cross the sandy Thar Desert past towering hilltop forts in which largest Indian state, also known as the 'Land of Kings' whose 'Pink City' is Jaipur?",Madhya Pradesh,Punjab,Sikkim,Rajasthan,20,4
22,"Kangchenjunga, the third-highest mountain on Earth, towers over which tiny Himalayan state, also famous as India's first fully organic state?",Himachal Pradesh,Gujarat,Manipur,Sikkim,20,4
23,"The towering, sculpture-covered Meenakshi Temple at Madurai rises in which southern state, also known as a 'Land of Temples' whose long Marina Beach lines Chennai?",West Bengal,Jharkhand,Madhya Pradesh,Tamil Nadu,20,4
24,"The four-arched Charminar and the hilltop Golconda Fort stand in Hyderabad in which state, also famous as India's youngest state, formed in 2014?",Odisha,Rajasthan,Telangana,Gujarat,20,3
25,"The lovely Neermahal palace floats in the middle of a lake in which small northeastern state, also known as the 'Land of Fourteen Gods'?",Tripura,Manipur,Punjab,Kerala,20,1
26,"The white-marble Taj Mahal at Agra and the holy riverside city of Varanasi both belong to which state, also known as the most populous in all of India?",West Bengal,Odisha,Uttar Pradesh,Chhattisgarh,20,3
27,"The sacred Ganges River is born from Himalayan glaciers in which state, also known as 'Dev Bhoomi,' the Land of the Gods, home to the yoga town of Rishikesh?",West Bengal,Uttarakhand,Haryana,Jharkhand,20,2
28,"The tiger-filled Sundarbans mangroves and the grand Victoria Memorial in Kolkata belong to which state, also known as the 'Cultural Capital of India'?",West Bengal,Rajasthan,Telangana,Goa,20,1
