Continent,Country,City,Latitude,Longitude,ManMadeLandmarks,GeographicalLandmarks,InterestingFact,Clue (from Blooket)
Europe,United Kingdom,London,51.51,-0.13,"Big Ben, Tower Bridge, Buckingham Palace",River Thames,Capital of the UK; the Prime Minister lives at 10 Downing Street,"The River Thames winds past the Houses of Parliament and the Tower of London in which capital city, home to Big Ben and Buckingham Palace?"
Europe,United Kingdom,Edinburgh,55.95,-3.19,Edinburgh Castle,Arthur's Seat (extinct volcano),Capital of Scotland,"An extinct volcano known as Arthur's Seat overlooks which Scottish capital, famous for the castle on its crag?"
Europe,France,Paris,48.86,2.35,"Eiffel Tower, Louvre, Notre-Dame",Seine River,The Louvre holds the Mona Lisa; capital of France,"The glass pyramid of the Louvre, guarding the Mona Lisa, stands by the Seine in which capital crowned by the Eiffel Tower?"
Europe,France,Marseille,43.3,5.37,Old Port (Vieux-Port),Mediterranean Sea,France's oldest and biggest port city,"France's oldest port city, on the Mediterranean, is which city?"
Europe,Italy,Rome,41.9,12.5,"Colosseum, Pantheon","Tiber River, Seven Hills","Vatican City, the world's smallest country, sits inside Rome","Vatican City, the world's smallest country, lies entirely inside which capital built on seven hills and home to the Colosseum?"
Europe,Italy,Venice,45.44,12.32,St. Mark's Basilica,Venetian Lagoon (Adriatic Sea),A city built on water where people travel by boat,A lagoon city of canals where people travel by boat is which city?
Europe,Italy,Pisa,43.72,10.4,Leaning Tower of Pisa,Arno River,The tower leans because of soft ground,A famous bell tower that tilts because it was built on soft ground stands in which Tuscan city on the Arno River?
Europe,Germany,Berlin,52.52,13.4,"Brandenburg Gate, Berlin Wall remains",Spree River,Capital of Germany; the Wall once split the city,The Brandenburg Gate and remains of a wall that once split the city are found in which German capital on the Spree River?
Europe,Germany,Munich,48.14,11.58,Neuschwanstein Castle (nearby),Bavarian Alps,Famous for Oktoberfest,Oktoberfest and nearby Neuschwanstein Castle belong to which Bavarian city?
Europe,Spain,Madrid,40.42,-3.7,"Royal Palace, Prado Museum",Manzanares River,Capital of Spain,The Prado Museum and the Royal Palace sit in which Spanish capital on the Manzanares River?
Europe,Spain,Barcelona,41.39,2.17,Sagrada Família,Mediterranean Sea coast,The cathedral has been built for over 140 years,Gaudi's Sagrada Familia church rises in which Spanish city?
Europe,Portugal,Lisbon,38.72,-9.13,Belém Tower,"Tagus River, Atlantic Ocean",Capital of Portugal; a great age-of-exploration port,The Belem Tower guards the Tagus in which Portuguese capital?
Europe,Greece,Athens,37.98,23.73,Parthenon (Acropolis),"Aegean Sea, Mt. Lycabettus",Birthplace of democracy and the Olympic Games,The Parthenon crowns the Acropolis in which Greek capital?
Europe,Netherlands,Amsterdam,52.37,4.9,"Canal houses, windmills",Canals (below sea level),Much of the country is below sea level,Canals and windmills fill which Dutch capital below sea level?
Europe,Russia,Moscow,55.76,37.62,"Kremlin, St. Basil's Cathedral, Red Square",Moskva River,Capital of the largest country in the world,St. Basil's Cathedral and the Kremlin sit on Red Square in which capital?
Europe,Russia,St. Petersburg,59.93,30.34,"Hermitage Museum, Winter Palace",Neva River,Built by Tsar Peter the Great,"Built by Tsar Peter the Great on the Neva River, which Russian city holds the Hermitage and the Winter Palace?"
Europe,Austria,Vienna,48.21,16.37,Schönbrunn Palace,Danube River,Capital of Austria; the 'City of Music',Schonbrunn Palace and classical music belong to which Austrian capital?
Europe,Switzerland,Zermatt,46.02,7.75,Old City of Bern,"Matterhorn, Swiss Alps",The Matterhorn is a famous pyramid-shaped peak,The pyramid-shaped Matterhorn rises above which Swiss alpine town?
Europe,Ireland,Dublin,53.35,-6.26,"Trinity College, Dublin Castle",River Liffey,Capital of Ireland,Trinity College sits on the Liffey in which Irish capital?
Europe,Belgium,Brussels,50.85,4.35,"Atomium, Grand Place",,Headquarters of the European Union,The Atomium and the EU's headquarters are in which Belgian capital?
Europe,Norway,Oslo,59.91,10.75,Viking Ship Museum,"Fjords, Oslofjord",Norway is famous for deep coastal fjords,Fjords and a Viking Ship Museum belong to which Norwegian capital?
Europe,Sweden,Stockholm,59.33,18.07,Royal Palace,Baltic Sea archipelago,Built across 14 islands,"Spread across 14 islands, which Swedish capital is this?"
Europe,Poland,Warsaw,52.23,21.01,Royal Castle,Vistula River,Capital of Poland,The rebuilt Royal Castle stands on the Vistula in which Polish capital?
Europe,Czech Republic,Prague,50.08,14.44,"Charles Bridge, Prague Castle",Vltava River,Prague Castle is one of the largest castles on Earth,Charles Bridge and a huge castle overlook the Vltava in which capital?
Europe,Hungary,Budapest,47.5,19.04,Hungarian Parliament Building,Danube River,"Two cities, Buda and Pest, joined by the Danube",Buda and Pest meet across the Danube in which Hungarian capital?
Europe,Vatican City,Vatican City,41.9,12.45,"St. Peter's Basilica, Sistine Chapel",,The smallest country in the world,"The Sistine Chapel and St. Peter's Basilica belong to which walled country, the smallest in the world, inside Rome?"
